ProblemNo,Connection,Cost
53,'13237' : 12 -> 13 ; '02112' : 1 -> 2 ; '12593' : 2 -> 3 ; '12286' : 2 -> 3 ; '11020' : 25 -> 26 ; '12591' : 32 -> 33 ; '11014' : 21 -> 22,7
54,'57273' : 53 -> 54 ; '12797' : 19 -> 20 ; '07324' : 15 -> 16 ; '00852' : 3 -> 4 ; '12611' : 4 -> 5 ; '17007' : 6 -> 7 ; '12833' : 37 -> 38 ; '18029' : 39 -> 40 ; '58112' : 19 -> 20,9
55,'12401' : 17 -> 18 ; '12938' : 6 -> 7 ; '11105' : 16 -> 17 ; '12329' : 8 -> 9 ; '14001' : 1 -> 2 ; '19415' : 27 -> 28 ; '14036' : 1 -> 2,7
56,'23154' : 8 -> 10 ; '13064' : 3 -> 5 ; '12525' : 7 -> 8 ; '02509' : 15 -> 16 ; '12236' : 18 -> 20 ; '55602' : 1 -> 2,9
57,'18312' : 12 -> 13 ; '12877' : 7 -> 8 ; '12353' : 8 -> 9 ; '12142' : 5 -> 6 ; '11054' : 9 -> 10 ; '11038' : 9 -> 10 ; '12270' : 2 -> 3 ; '02510' : 17 -> 18 ; '12868' : 5 -> 6 ; '12731' : 2 -> 3,10
58,'52973' : 22 -> 24 ; '12149' : 9 -> 10 ; '22356' : 3 -> 4 ; '12941' : 23 -> 24 ; '12306' : 6 -> 7 ; '12519' : 17 -> 18 ; '12436' : 11 -> 12 ; '13160' : 5 -> 6,9
59,'19302' : 21 -> 22 ; '11046' : 21 -> 22 ; '22865' : 6 -> 7 ; '22828' : 7 -> 8 ; '12145' : 14 -> 15 ; '08301' : 4 -> 5 ; '12835' : 8 -> 9 ; '18211' : 12 -> 13 ; '18005' : 45 -> 47 ; '58501' : 37 -> 40,13
60,'12183' : 3 -> 5 ; '12433' : 6 -> 9,01:09:43:00
61,'15159' : 6 -> 24,00:18:32:00
62,'17019' : 3 -> 4,00:20:55:00
63,'17019' : 22 -> 28,01:06:49:00
64,'18233' : 45 -> 48 ; '15159' : 30 -> 35 ; '18233' : 55 -> 57,01:13:17:00
65,'15159' : 45 -> 46,00:07:30:00
